id,run_id,scenario_id,timestamp_local,recommended_ac_units_on,recommended_ac_setpoint_c,recommended_fan_units_on,grid_energy_kwh,solar_energy_used_kwh,battery_charge_kwh,battery_discharge_kwh,battery_soc_kwh,cooling_energy_kwh,estimated_indoor_temp_c,comfort_status,interval_cost_pkr,interval_emissions_kgco2e,reason_code,explanation,constraint_violation_count,is_baseline
11265,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T00:00:00,1,25,3,0.5513,0,0,0,0,0.4688,27.73,within_range,6.7859,0.2205,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.31/kWh). Good opportunity for cooling at lower cost.,0,1
11266,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T00:15:00,2,24,3,0.9488,0,0,0,0,0.8813,27.16,within_range,13.0833,0.3795,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 13.79/kWh). Good opportunity for cooling at lower cost.,0,1
11267,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T00:30:00,2,24,3,1.0063,0,0,0,0,0.8813,26.73,within_range,13.4938,0.4025,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 13.41/kWh). Good opportunity for cooling at lower cost.,0,1
11268,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T00:45:00,1,25,3,0.5313,0,0,0,0,0.4688,26.65,within_range,6.5822,0.2125,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.39/kWh). Good opportunity for cooling at lower cost.,0,1
11269,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T01:00:00,1,25,3,0.5763,0,0,0,0,0.4688,26.58,within_range,7.8946,0.2305,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 13.7/kWh). Good opportunity for cooling at lower cost.,0,1
11270,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T01:15:00,1,25,3,0.5588,0,0,0,0,0.4688,26.49,within_range,6.8167,0.2235,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.2/kWh). Good opportunity for cooling at lower cost.,0,1
11271,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T01:30:00,2,24,3,0.9813,0,0,0,0,0.8813,26.22,within_range,12.3834,0.3925,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.62/kWh). Good opportunity for cooling at lower cost.,0,1
11272,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T01:45:00,2,24,3,0.9363,0,0,0,0,0.8813,26.01,within_range,11.3193,0.3745,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.09/kWh). Good opportunity for cooling at lower cost.,0,1
11273,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T02:00:00,1,25,3,0.5763,0,0,0,0,0.4688,26.1,within_range,7.3299,0.2305,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.72/kWh). Good opportunity for cooling at lower cost.,0,1
11274,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T02:15:00,1,25,3,0.5513,0,0,0,0,0.4688,26.08,within_range,7.0836,0.2205,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.85/kWh). Good opportunity for cooling at lower cost.,0,1
11275,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T02:30:00,2,24,3,0.9588,0,0,0,0,0.8813,25.93,within_range,11.8789,0.3835,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.39/kWh). Good opportunity for cooling at lower cost.,0,1
11276,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T02:45:00,2,24,3,0.9463,0,0,0,0,0.8813,25.79,within_range,12.377,0.3785,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 13.08/kWh). Good opportunity for cooling at lower cost.,0,1
11277,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T03:00:00,1,25,3,0.5588,0,0,0,0,0.4688,25.92,within_range,7.1855,0.2235,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.86/kWh). Good opportunity for cooling at lower cost.,0,1
11278,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T03:15:00,1,25,3,0.5763,0,0,0,0,0.4688,25.92,within_range,7.6872,0.2305,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 13.34/kWh). Good opportunity for cooling at lower cost.,0,1
11279,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T03:30:00,2,24,3,0.9438,0,0,0,0,0.8813,25.81,within_range,12.7312,0.3775,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 13.49/kWh). Good opportunity for cooling at lower cost.,0,1
11280,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T03:45:00,2,24,3,1.0038,0,0,0,0,0.8813,25.7,within_range,12.5669,0.4015,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.52/kWh). Good opportunity for cooling at lower cost.,0,1
11281,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T04:00:00,1,25,3,0.5838,0,0,0,0,0.4688,25.81,within_range,7.7172,0.2335,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 13.22/kWh). Good opportunity for cooling at lower cost.,0,1
11282,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T04:15:00,1,25,3,0.5213,0,0,0,0,0.4688,25.95,within_range,6.5,0.2085,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.47/kWh). Good opportunity for cooling at lower cost.,0,1
11283,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T04:30:00,1,25,3,0.5488,0,0,0,0,0.4688,26.04,within_range,6.8155,0.2195,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.42/kWh). Good opportunity for cooling at lower cost.,0,1
11284,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T04:45:00,2,24,3,0.9613,0,0,0,0,0.8813,25.97,within_range,12.4097,0.3845,HEAT_RISK,Extreme heat index of 35°C detected with 5 occupants present. Maximum cooling applied for safety.,0,1
11285,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T05:00:00,2,24,3,0.9813,0,0,0,0,0.8813,25.9,within_range,12.5502,0.3925,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.79/kWh). Good opportunity for cooling at lower cost.,0,1
11286,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T05:15:00,2,24,3,0.9363,0,0,0,0,0.8813,25.87,within_range,11.7125,0.3745,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.51/kWh). Good opportunity for cooling at lower cost.,0,1
11287,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T05:30:00,2,24,3,0.9688,0,0,0,0,0.8813,25.79,within_range,13.2719,0.3875,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 13.7/kWh). Good opportunity for cooling at lower cost.,0,1
11288,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T05:45:00,2,24,3,0.9813,0,0,0,0,0.8813,25.82,within_range,12.0792,0.3925,HEAT_RISK,Extreme heat index of 35.7°C detected with 5 occupants present. Maximum cooling applied for safety.,0,1
11289,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T06:00:00,2,24,3,0.9738,0,0,0,0,0.8813,25.88,within_range,13.1943,0.3895,HEAT_RISK,Extreme heat index of 38.9°C detected with 4 occupants present. Maximum cooling applied for safety.,0,1
11290,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T06:15:00,2,24,3,0.9788,0,0,0,0,0.8813,26.03,within_range,12.5182,0.3915,HEAT_RISK,Extreme heat index of 40.1°C detected with 4 occupants present. Maximum cooling applied for safety.,0,1
11291,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T06:30:00,2,24,3,0.9538,0,0,0,0,0.8813,26.05,within_range,11.4927,0.3815,OFF_PEAK_CHEAP,Off-peak tariff period (PKR 12.05/kWh). Good opportunity for cooling at lower cost.,0,1
11292,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T06:45:00,2,24,3,0.9613,0,0,0,0,0.8813,26.29,within_range,11.8907,0.3845,HEAT_RISK,Extreme heat index of 40.7°C detected with 4 occupants present. Maximum cooling applied for safety.,0,1
11293,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T07:00:00,2,24,3,0.9938,0,0,0,0,0.8813,26.4,within_range,24.1283,0.4969,NORMAL,Standard operation. Cooling adjusted based on current conditions and occupancy.,0,1
11294,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T07:15:00,2,24,3,0.9413,0,0,0,0,0.8813,26.75,within_range,23.2489,0.4706,HEAT_RISK,Extreme heat index of 41.5°C detected with 4 occupants present. Maximum cooling applied for safety.,0,1
11295,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T07:30:00,2,24,3,0.9313,0,0,0,0,0.8813,27.05,within_range,20.7203,0.4656,HEAT_RISK,Extreme heat index of 40.6°C detected with 4 occupants present. Maximum cooling applied for safety.,0,1
11296,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T07:45:00,2,24,3,0.9788,0,0,0,0,0.8813,27.42,within_range,23.3921,0.4894,HEAT_RISK,Extreme heat index of 45.7°C detected with 4 occupants present. Maximum cooling applied for safety.,0,1
11297,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T08:00:00,2,24,3,1.0013,0,0,0,0,0.8813,27.5,within_range,24.07,0.5006,HEAT_RISK,Extreme heat index of 37.7°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11298,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T08:15:00,2,24,3,0.9763,0,0,0,0,0.8813,27.74,within_range,21.9168,0.4881,HEAT_RISK,Extreme heat index of 43.9°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11299,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T08:30:00,2,24,3,0.9638,0,0,0,0,0.8813,28.04,warning,22.677,0.4819,HEAT_RISK,Extreme heat index of 40.2°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11300,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T08:45:00,2,24,3,0.9913,0,0,0,0,0.8813,28.24,warning,23.1853,0.4956,HEAT_RISK,Extreme heat index of 37.7°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11301,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T09:00:00,2,24,3,0.9488,0,0,0,0,0.8813,28.6,warning,23.6239,0.4744,HEAT_RISK,Extreme heat index of 41.7°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11302,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T09:15:00,2,24,3,0.9688,0,0,0,0,0.8813,28.81,warning,21.9906,0.4844,HEAT_RISK,Extreme heat index of 43.1°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11303,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T09:30:00,2,24,3,0.9838,0,0,0,0,0.8813,29.16,unsafe,24.2888,0.4919,HEAT_RISK,Extreme heat index of 42.9°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11304,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T09:45:00,2,24,3,0.9438,0,0,0,0,0.8813,29.3,unsafe,23.0747,0.4719,HEAT_RISK,Extreme heat index of 41.1°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11305,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T10:00:00,2,24,3,0.9738,0,0,0,0,0.8813,29.52,unsafe,22.9221,0.4869,HEAT_RISK,Extreme heat index of 42°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11306,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T10:15:00,2,24,3,0.9463,0,0,0,0,0.8813,29.97,unsafe,21.7732,0.4731,HEAT_RISK,Extreme heat index of 45°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11307,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T10:30:00,2,24,3,0.9888,0,0,0,0,0.8813,30.45,unsafe,24.2145,0.4944,HEAT_RISK,Extreme heat index of 48.3°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11308,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T10:45:00,2,24,3,0.9738,0,0,0,0,0.8813,30.81,unsafe,21.9483,0.4869,HEAT_RISK,Extreme heat index of 43.2°C detected with 1 occupants present. Maximum cooling applied for safety.,0,1
11309,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T11:00:00,2,24,3,0.9963,0,0,0,0,0.8813,31.17,infeasible,23.9598,0.4981,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T11:00:00. All available resources are being utilized.,0,1
11310,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T11:15:00,2,24,3,0.9613,0,0,0,0,0.8813,31.69,infeasible,22.8297,0.4806,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T11:15:00. All available resources are being utilized.,0,1
11311,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T11:30:00,2,24,3,0.9688,0,0,0,0,0.8813,32.26,infeasible,21.4481,0.4844,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T11:30:00. All available resources are being utilized.,0,1
11312,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T11:45:00,2,24,3,0.9763,0,0,0,0,0.8813,32.75,infeasible,24.172,0.4881,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T11:45:00. All available resources are being utilized.,0,1
11313,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T12:00:00,2,24,3,0.9613,0,0,0,0,0.8813,33.2,infeasible,21.2436,0.4806,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T12:00:00. All available resources are being utilized.,0,1
11314,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T12:15:00,2,24,3,0.9663,0,0,0,0,0.8813,33.51,infeasible,23.161,0.4831,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T12:15:00. All available resources are being utilized.,0,1
11315,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T12:30:00,2,24,3,0.9488,0,0,0,0,0.8813,34.04,infeasible,21.4702,0.4744,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T12:30:00. All available resources are being utilized.,0,1
11316,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T12:45:00,2,24,3,0.9538,0,0,0,0,0.8813,34.65,infeasible,21.8123,0.4769,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T12:45:00. All available resources are being utilized.,0,1
11317,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T13:00:00,2,24,3,0.9638,0,0,0,0,0.8813,35.14,infeasible,21.8868,0.4819,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T13:00:00. All available resources are being utilized.,0,1
11318,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T13:15:00,2,24,3,0.9438,0,0,0,0,0.8813,35.62,infeasible,22.7821,0.4719,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T13:15:00. All available resources are being utilized.,0,1
11319,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T13:30:00,2,24,3,0.9888,0,0,0,0,0.8813,35.91,infeasible,22.2073,0.4944,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T13:30:00. All available resources are being utilized.,0,1
11320,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T13:45:00,2,24,3,0.9663,0,0,0,0,0.8813,36.34,infeasible,22.9001,0.4831,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T13:45:00. All available resources are being utilized.,0,1
11321,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T14:00:00,2,24,3,0.9938,0,0,0,0,0.8813,36.71,infeasible,22.7867,0.4969,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T14:00:00. All available resources are being utilized.,0,1
11322,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T14:15:00,2,24,3,0.9663,0,0,0,0,0.8813,36.9,infeasible,22.5716,0.4831,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T14:15:00. All available resources are being utilized.,0,1
11323,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T14:30:00,2,24,3,0.9963,0,0,0,0,0.8813,37.16,infeasible,24.3085,0.4981,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T14:30:00. All available resources are being utilized.,0,1
11324,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T14:45:00,2,24,3,0.9988,0,0,0,0,0.8813,37.3,infeasible,23.5206,0.4994,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T14:45:00. All available resources are being utilized.,0,1
11325,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T15:00:00,2,24,3,0.9663,0,0,0,0,0.8813,37.36,infeasible,22.9678,0.4831,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T15:00:00. All available resources are being utilized.,0,1
11326,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T15:15:00,2,24,3,0.9588,0,0,0,0,0.8813,37.43,infeasible,23.1826,0.4794,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T15:15:00. All available resources are being utilized.,0,1
11327,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T15:30:00,2,24,3,1.0013,0,0,0,0,0.8813,37.54,infeasible,23.8598,0.5006,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T15:30:00. All available resources are being utilized.,0,1
11328,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T15:45:00,2,24,3,0.9363,0,0,0,0,0.8813,37.49,infeasible,22.8071,0.4681,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T15:45:00. All available resources are being utilized.,0,1
11329,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T16:00:00,2,24,3,0.9713,0,0,0,0,0.8813,37.35,infeasible,22.9798,0.4856,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T16:00:00. All available resources are being utilized.,0,1
11330,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T16:15:00,2,24,3,0.9588,0,0,0,0,0.8813,37.16,infeasible,22.9429,0.4794,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T16:15:00. All available resources are being utilized.,0,1
11331,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T16:30:00,2,24,3,1.0038,0,0,0,0,0.8813,36.92,infeasible,24.4212,0.5019,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T16:30:00. All available resources are being utilized.,0,1
11332,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T16:45:00,2,24,3,0.9613,0,0,0,0,0.8813,36.61,infeasible,22.3875,0.4806,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T16:45:00. All available resources are being utilized.,0,1
11333,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T17:00:00,2,24,3,0.9663,0,0,0,0,0.8813,36.22,infeasible,24.1176,0.4831,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T17:00:00. All available resources are being utilized.,0,1
11334,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T17:15:00,2,24,3,0.9963,0,0,0,0,0.8813,35.92,infeasible,23.5414,0.4981,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T17:15:00. All available resources are being utilized.,0,1
11335,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T17:30:00,2,24,3,0.9838,0,0,0,0,0.8813,35.57,infeasible,24.5938,0.4919,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T17:30:00. All available resources are being utilized.,0,1
11336,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T17:45:00,2,24,3,0.9438,0,0,0,0,0.8813,35.07,infeasible,21.2721,0.4719,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T17:45:00. All available resources are being utilized.,0,1
11337,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T18:00:00,2,24,3,0.9988,0,0,0,0,0.8813,34.54,infeasible,37.6529,0.6492,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T18:00:00. All available resources are being utilized.,0,1
11338,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T18:15:00,2,24,3,0.9338,0,0,0,0,0.8813,33.95,infeasible,36.2015,0.6069,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T18:15:00. All available resources are being utilized.,0,1
11339,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T18:30:00,2,24,3,0.9713,0,0,0,0,0.8813,33.31,infeasible,34.3531,0.6313,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T18:30:00. All available resources are being utilized.,0,1
11340,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T18:45:00,2,24,3,0.9913,0,0,0,0,0.8813,32.7,infeasible,37.9649,0.6443,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T18:45:00. All available resources are being utilized.,0,1
11341,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T19:00:00,2,24,3,0.9463,0,0,0,0,0.8813,31.9,infeasible,35.5885,0.6151,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T19:00:00. All available resources are being utilized.,0,1
11342,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T19:15:00,2,24,3,1.0013,0,0,0,0,0.8813,31.13,infeasible,37.0963,0.6508,INFEASIBLE,Comfort target cannot be achieved with available cooling capacity at 2026-06-01T19:15:00. All available resources are being utilized.,0,1
11343,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T19:30:00,2,24,3,0.9713,0,0,0,0,0.8813,30.45,unsafe,38.0244,0.6313,HEAT_RISK,Extreme heat index of 38.8°C detected with 5 occupants present. Maximum cooling applied for safety.,0,1
11344,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T19:45:00,2,24,3,0.9738,0,0,0,0,0.8813,29.82,unsafe,37.2459,0.6329,HEAT_RISK,Extreme heat index of 38.3°C detected with 5 occupants present. Maximum cooling applied for safety.,0,1
11345,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T20:00:00,2,24,3,0.9638,0,0,0,0,0.8813,29.19,unsafe,34.5697,0.6264,HEAT_RISK,Extreme heat index of 38.5°C detected with 5 occupants present. Maximum cooling applied for safety.,0,1
11346,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T20:15:00,2,24,3,0.9838,0,0,0,0,0.8813,28.45,warning,39.1139,0.6394,COMFORT_RISK,Indoor temperature approaching comfort limits. Cooling adjusted to maintain occupant comfort.,0,1
11347,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T20:30:00,2,24,3,1.0038,0,0,0,0,0.8813,27.85,within_range,38.1124,0.6524,BUDGET_RISK,Daily cost (PKR 1705) approaching budget ceiling (PKR 450). Reducing non-essential cooling.,0,1
11348,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T20:45:00,2,24,3,0.9788,0,0,0,0,0.8813,27.35,within_range,35.9691,0.6362,BUDGET_RISK,Daily cost (PKR 1741) approaching budget ceiling (PKR 450). Reducing non-essential cooling.,0,1
11349,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T21:00:00,2,24,3,0.9838,0,0,0,0,0.8813,27.07,within_range,38.2482,0.6394,HEAT_RISK,Extreme heat index of 36.4°C detected with 5 occupants present. Maximum cooling applied for safety.,0,1
11350,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T21:15:00,2,24,3,0.9538,0,0,0,0,0.8813,26.76,within_range,34.4399,0.6199,BUDGET_RISK,Daily cost (PKR 1813) approaching budget ceiling (PKR 450). Reducing non-essential cooling.,0,1
11351,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T21:30:00,2,24,3,0.9613,0,0,0,0,0.8813,26.48,within_range,35.9411,0.6248,BUDGET_RISK,Daily cost (PKR 1849) approaching budget ceiling (PKR 450). Reducing non-essential cooling.,0,1
11352,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T21:45:00,2,24,3,0.9613,0,0,0,0,0.8813,26.32,within_range,35.0568,0.6248,BUDGET_RISK,Daily cost (PKR 1884) approaching budget ceiling (PKR 450). Reducing non-essential cooling.,0,1
11353,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T22:00:00,2,24,3,0.9663,0,0,0,0,0.8813,26.11,within_range,21.586,0.4831,BUDGET_RISK,Daily cost (PKR 1906) approaching budget ceiling (PKR 450). Reducing non-essential cooling.,0,1
11354,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T22:15:00,2,24,3,1.0063,0,0,0,0,0.8813,26.02,within_range,24.4519,0.5031,BUDGET_RISK,Daily cost (PKR 1930) approaching budget ceiling (PKR 450). Reducing non-essential cooling.,0,1
11355,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T22:30:00,2,24,3,0.9963,0,0,0,0,0.8813,25.91,within_range,23.1827,0.4981,BUDGET_RISK,Daily cost (PKR 1953) approaching budget ceiling (PKR 450). Reducing non-essential cooling.,0,1
11356,c37fe400-09d5-4d62-a80d-a8ada10f0275,PUB-A,2026-06-01T22:45:00,2,24,3,0.9863,0,0,0,0,0.8813,25.81,within_range,23.3938,0.4931,BUDGET_RISK,Daily cost (PKR 1977) approaching budget ceiling (PKR 450). Reducing non-essential cooling.,0,1
